Brief Description,Road,Project Year,City/Location,Length (miles),Functional Class,Improvement Type,AreaTypeFuncClass,Comments,xConstructionYear,State,County,Internal Project ID,GEOID,Area TypeCounty,TollType,Segment ID,Segment Description,Year of Observation,xMonth of Observation,Count,Count Units,xSource,Station Identifier,State,Traffic Forecast,Forecast Units,Forecast Year,Forecast Year Type,Year Forecast Produced,Forecasting Agency,Forecast Methodology,Post-processing Methodology,Post-processing Explanation,Count State,Opening Year,Opening Year Actual Count,PE
"The SR 46 and Camp Challenge Road Intersection Add Right Turn Lane Project consists of the intersection of SR 46 and the Camp
Challenge Road (M.P. 7.497).",SR 46 ,2005,Lake ,,3,4,1,,2005,12,Lake ,416657-1,12127,3,1,1,,2005,July,15500,AADT,72 Hour Classification Count,111019,FL,17200,AADT,2008,1,2005,5,1,1,,12,2008,14900,0.1337
"The SR 400 (I-4) Interchange project SR 400 (I-4) Eastbound Off-ramp to Osceola Parkway from M.P.
7.510 to M.P. 7.520.",SR 400,2009,Osceola ,,1,2,3,,2009,12,Osceola ,416518-1,12127,3,1,1,,2009,July,2100,AADT,72 Hour Classification Count,922019,FL,3050,AADT,2011,1,2009,5,4,1,,12,2011,1600,0.4754
"The SR A1A Add Northbound Left Turn Lane Project SR A1A from S. of US-192 (M.P. 17.530) to US-192 (M.P.
17.536).",SR A1A,2005,Brevard ,,3,4,3,,2005,12,Brevard ,416407-1,12127,3,1,1,,2005,March,19300,AADT,72 Hour Classification Count,700228,FL,19700,AADT,2007,1,2005,5,1,1,Upscaling trend analysis to conservative growth rate,12,2007,18200,0.0761
The SR 471 – Add Left-Turn Lane(s) Project,SR 471,2005,Sumter ,,4,4,1,,2005,12,Sumter ,416221-1,12127,3,1,1,,2005,may,4500,AADT,72 Hour Classification Count,180205,FL,4750,AADT,2007,1,2005,5,1,1,Upscaling trend analysis to conservative growth rate,12,2007,5100,-0.0737
"The SR 430 Add Left Turn Lane(s) Project from East of Nova Road (M.P.
0.990) to East of Sherry Dr. (M.P. 1.090).",SR 430,2006,Volusia ,,4,4,3,,2006,12,Volusia ,416219-1,12127,3,1,1,,2006,January,20700,AADT,72 Hour Classification Count,795197,FL,21800,AADT,2010,1,2007,5,4,1,,12,2010,18200,0.1651
"The SR 483 Add Right Turn Lane(s) Project from South of SR 430 (M.P. 3.277) to SR 430 (M.P.
3.377).",SR 483,2004,Volusia ,,3,4,3,,2004,12,Volusia ,416194-1,12127,3,1,1,,2004,December,20000,AADT,72 Hour Classification Count,795182,FL,23400,AADT,2009,1,2004,5,4,1,,12,2009,17700,0.2436
"The SR 414 Add Right Turn Lane(s) Project from Keller Rd (M.P. 39.595) Eastward (M.P.
39.695).",SR 414,2006,Orange ,0.1,4,4,3,,2006,12,Orange ,416189-1,12127,3,2,1,MP 39.595 to MO 39.695,2006,May,56000,AADT,72 Hour Classification Count,750592,FL,58100,AADT,2008,1,2006,5,5,1,Average of CFRPM III and Trend,12,2008,53000,0.0878
The SR 500 Resurfacing Project from S. of SE 178th (M.P. 0.074) to N. of SE 178th (M.P. 0.324).,SR 500,2005,Marion ,0.25,3,1,1,Rural Arterial,2005,12,Marion ,416188-1,12127,3,1,1,MP 0.074 to MP 0.324,2005,February,40200,AADT,72 Hour Classification Count,180209,FL,42100,AADT,2007,1,2005,5,1,1,,12,2007,35500,0.1568
"The SR 48 – Add Left-Turn Lane(s) Project from west of West Street (M.P. 9.381) to east of
West Street (M.P. 9.581).",SR 48 ,2005,Sumter ,0.2,4,4,1,,2005,12,Sumter ,416187-1,12127,3,1,1,MP 9.381 to MP 9..581,2005,March,12100,AADT,72 Hour Classification Count,180009,FL,12700,AADT,2007,1,2005,5,5,1,Statewise default growth rate for rural minor arterial (based on he year 2003),12,2007,9300,0.2677
"The SR 45/US 41 Resurfacing Project from SW 107th Lane (M.P. 1.662) to Levy County
Line (M.P. 11.928).",SR 45/,2005,Marion ,10.266,4,1,1,,2005,12,Marion ,416153-1,12127,3,1,1,,2003,December,13600,AADT,72 Hour Classification Count,360200,FL,14500,AADT,2005,1,2003,5,5,1,Average of CFRPM II and Trend,12,2005,9500,0.3448
"The SR 46 Add Turn Lane(s) from East of Wekiva Park Dr (M.P. 0.339) to West of Longwood
Markham Rd (M.P. 0.660)",SR 46 ,2004,Seminole ,0.321,3,4,1,Rural Arterial,2004,12,Seminole ,415978-1,12127,3,1,1,MP .339 to MP 0.660,2004,October,18600,AADT,72 Hour Classification Count,770074,FL,20800,AADT,2007,1,2004,5,1,1,,12,2007,23000,-0.1058
The Add Right Turn Lane(s) Project for US 92 west of West Parkway,,2004,Volusia ,0.1,3,4,3,,2004,12,Volusia ,415977-1,12127,3,1,1,West Parkway,2004,September,20500,AADT,72 Hour Classification Count,791001,FL,21100,AADT,2006,1,2004,5,5,1,Average of CFRPM III and Trend,12,2006,29000,-0.3744
"The SR 5054 Add Left Turn Lane(s) project from Washburn Road (M.P. 1.264) to eastward
(M.P. 1.564)",SR 505,2009,Brevard ,0.3,4,4,3,,2009,12,Brevard ,415973-1,12127,3,1,1,Washburn Road,2009,June,14900,AADT,72 Hour Classification Count,180202,FL,15400,AADT,2011,1,2009,5,5,1,Average of CFRPM IV and Trend,12,2011,7700,0.5
"The SR 15 Resurfacing Project limited to SR 15, from M.P. 5.951 to M.P. 16.180.",SR 15 ,2003,Volusia ,10.229,3,1,1,,2003,12,Volusia ,413596-1,12127,3,1,1,,2003,March,11200,AADT,72 Hour Classification Count,790519,FL,12100,AADT,2006,1,2003,5,5,1,Average of CFRPM II and Trend,12,2006,11500,0.0496
"The SR 15 Resurfacing Project limited to SR 15, from M.P. 5.951 to M.P. 16.180.",SR 15 ,2003,Volusia ,,3,1,1,,2003,12,Volusia ,413596-1,12127,3,1,2,,2003,March,7900,AADT,72 Hour Classification Count,790104,FL,8600,AADT,2006,1,2003,5,5,1,Average of CFRPM II and Trend,12,2006,8600,0
"The SR 15 Resurfacing Project limited to SR 15, from M.P. 5.951 to M.P. 16.180.",SR 15 ,2003,Volusia ,,3,1,1,,2003,12,Volusia ,413596-1,12127,3,1,3,,2003,March,6900,AADT,72 Hour Classification Count,790448,FL,7500,AADT,2006,1,2003,5,5,1,Average of CFRPM II and Trend,12,2006,7500,0
"The SR 5 Resurfacing Project from the Brevard County Line (M.P. 0.000) to South Street (M.P.
6.646)",SR 5 R,2003,Volusia ,6.646,3,1,1,,2003,12,Volusia ,413595-1,12127,3,1,1,MP 0.000 to MP 6.646,2003,October,4000,AADT,72 Hour Classification Count,790531,FL,4200,AADT,2006,1,2003,5,5,1,Average of CFRPM II and Trend,12,2006,3700,0.119
"The SR 50 Resurfacing Project from Lake County Line (M.P. 0.000) to 0.450 Mi. west of SR 91
(M.P. 0.744).",SR 50 ,2004,Orange ,0.744,3,1,1,,2004,12,Orange ,413594-1,12127,3,1,1,MP 0 to MP 0.744,2004,April,43100,AADT,72 Hour Classification Count,750572,FL,47200,AADT,2006,1,2004,5,4,1,,12,2006,54000,-0.1441
The SR 600 Resurfacing Project from Polk County Line (M.P. 0.000) to Martin Avenue (M.P. 5.671).,SR 600,2004,Osceola ,5.671,3,1,1,,2004,12,Osceola ,413592-1,12127,3,1,1,MP 0 to Poinciana BLVD,2004,March,17200,AADT,72 Hour Classification Count,920029,FL,18500,AADT,2006,1,2004,5,1,1,,12,2006,20000,-0.0811
The SR 600 Resurfacing Project from Polk County Line (M.P. 0.000) to Martin Avenue (M.P. 5.671).,SR 600,2004,Osceola ,5.671,3,1,1,,2004,12,Osceola ,413592-1,12127,3,1,2,Poinciana Blvd to MO 5.671,2004,March,20100,AADT,72 Hour Classification Count,920314,FL,21600,AADT,2006,1,2004,5,1,1,,12,2006,10100,0.5324
"The SR 50 Resurfacing Project from 0.1 Mi. West of Colonial Ridge Apartments (M.P. 10.317) to SR
500/600/Orange Blossom Trail (M.P. 15.997).",SR 50 ,2004,Orange ,5.68,3,1,3,,2004,12,Orange ,413590-1,12127,3,1,1,,2004,February,46150,AADT,72 Hour Classification Count,750355,FL,47930,AADT,2006,1,2004,5,4,1,,12,2006,46000,0.0403
"The SR 50 Resurfacing Project from 0.1 Mi. West of Colonial Ridge Apartments (M.P. 10.317) to SR
500/600/Orange Blossom Trail (M.P. 15.997).",SR 50 ,2004,Orange ,5.68,3,1,3,,2004,12,Orange ,413590-1,12127,3,1,2,,2004,February,39760,AADT,72 Hour Classification Count,755174,FL,41300,AADT,2006,1,2004,5,4,1,,12,2006,36000,0.1283
The SR 5 Resurfacing Project from SR 514 (M.P. 11.390) to Robert Conlan Boulevard (M.P. 15.150).,SR 5 R,2003,Brevard ,3.76,3,1,3,,2003,12,Brevard ,413589-1,12127,3,1,1,MP 11.39 to MP 15.15,2003,August,23000,AADT,72 Hour Classification Count,705159,FL,25200,AADT,2006,1,2003,5,4,1,,12,2006,27000,-0.0714
The SR 401 Resurfacing Project from SR 528 (M.P. 4.114) to the Kennedy Space Center Gate (M.P. 6.314),SR 401,2003,Brevard ,2.196,3,1,3,,2003,12,Brevard ,413587-1,12127,3,1,1,MP 4.114 to MP 6.314,2003,August,13600,AADT,72 Hour Classification Count,700369,FL,13800,AADT,2006,1,2003,5,4,1,,12,2006,14300,-0.0362
The SR 524 Resurfacing Project from SR 520 (M.P. 0.000) to SR 528 (M.P. 5.200).,SR 524,2003,Brevard ,5.2,3,1,1,,2003,12,Brevard ,413586-1,12127,3,1,1,,2003,June,4000,AADT,72 Hour Classification Count,700425,FL,4400,AADT,2006,1,2003,5,5,1,Average of Brevard County Transportation Model and Traffic Trend growth rate,12,2006,6500,-0.4773
The SR 524 Resurfacing Project from SR 520 (M.P. 0.000) to SR 528 (M.P. 5.200).,SR 524,2003,Brevard ,5.2,3,1,1,,2003,12,Brevard ,413586-1,12127,3,1,2,,2003,June,17900,AADT,72 Hour Classification Count,700426,FL,19600,AADT,2006,1,2003,5,5,1,Average of Brevard County Transportation Model and Traffic Trend growth rate,12,2006,15000,0.2347
"The SR 500 Resurfacing Project (M.P. 7.616) to
0.01 Mi North of 6th Street (M.P. 10.440)",SR 500,2003,Orange ,2.824,3,1,4,,2003,12,Orange ,413585-1,12127,3,1,1,MP 7.616 to MP 10.44,2003,October,37900,AADT,72 Hour Classification Count,750294,FL,40400,AADT,2006,1,2003,5,5,1,Average of CFRPM II and Trend,12,2006,27000,0.3317
"The SR 500 Resurfacing Project from McGhee Avenue (M.P. 10.854) to
0.104 Mi North of Dudley Avenue (M.P. 21.784)",SR 500,2003,Orange ,10.93,3,1,4,,2003,12,Orange ,413603-1,12127,3,1,1,,2003,October,34200,AADT,72 Hour Classification Count,750660,FL,36500,AADT,2006,1,2003,5,5,1,Average of CFRPM II and Trend,12,2006,41500,-0.137
"The SR 500 Resurfacing Project from McGhee Avenue (M.P. 10.854) to
0.104 Mi North of Dudley Avenue (M.P. 21.784)",SR 500,2003,Orange ,10.93,3,1,4,,2003,12,Orange ,413603-1,12127,3,1,2,,2003,October,20300,AADT,72 Hour Classification Count,750084,FL,21700,AADT,2006,1,2003,5,5,1,Average of CFRPM II and Trend,12,2006,28000,-0.2903
The SR 421 Resurfacing Project from SR 5A (M.P. 2.322) to SR 5 (M.P. 4.001).,SR 421,2003,Volusia ,1.679,3,1,3,,2003,12,Volusia ,413584-1,12127,3,1,1,,2003,October,30900,AADT,72 Hour Classification Count,791015,FL,33200,AADT,2006,1,2003,5,5,1,Average of CFRPM II and Trend,12,2006,32000,0.0361
The SR 200 Resurfacing Project from I-75 (M.P. 14.975) to SR25/US301/US 44 (M.P. 18.435),SR 200,2003,Marion ,3.46,3,1,3,,2003,12,Marion ,413583-1,12127,3,1,1,MP 14.975 to MP 18/435,2003,April,37400,AADT,72 Hour Classification Count,360122,FL,38500,AADT,2006,1,2003,5,4,1,,12,2006,42000,-0.0909
The SR 600 Resurfacing Project from I-4 (M.P. 13.178) to Bellvue Road (M.P. 15.444).,SR 600,2003,Volusia ,2.266,3,1,1,,2003,12,Volusia ,413582-1,12127,3,1,1,MP 13.178 to MP 15.444,2003,October,29200,AADT,72 Hour Classification Count,790532,FL,32700,AADT,2006,1,2003,5,4,1,,12,2006,28000,0.1437
"The SR 15 Resurfacing Project from 317 feet south of SR 423/Lee Road M.P. 6.201 to Seminole County Line
M.P. 8.705.",SR 15 ,2003,Orange ,2.504,3,1,3,,2003,12,Orange ,413578-1,12127,3,1,1,,2003,April,45000,AADT,72 Hour Classification Count,755127,FL,46400,AADT,2006,1,2003,5,5,1,Average of CFRPM II and Trend,12,2006,47000,-0.0129
"The SR 15 Resurfacing Project from 317 feet south of SR 423/Lee Road M.P. 6.201 to Seminole County Line
M.P. 8.705.",SR 15 ,2003,Orange ,2.504,3,1,3,,2003,12,Orange ,413578-1,12127,3,1,2,,2003,April,55000,AADT,72 Hour Classification Count,755129,FL,56700,AADT,2006,1,2003,5,5,1,Average of CFRPM II and Trend,12,2006,54500,0.0388
"The SR 426 Resurfacing Project on SR 426 from 430 ft East of SR 15/US 17/92 (M.P. 1.176) to Pennsylvania
Avenue (M.P. 1.611)",SR 426,2004,Orange ,0.435,4,1,3,,2004,12,Orange ,413577-1,12127,3,1,1,,2004,January,38500,AADT,72 Hour Classification Count,750565,FL,39100,AADT,2006,1,2003,5,5,1,"SR 426 is a constrained area and fully built-out, therefore, a growth rate of 0.50% was used",12,2006,41000,-0.0486
The SR 520(EB) Resurfacing Project from US 1 (M.P. 8.727) to Pavement Change at Bridge (M.P. 9.390).,SR 520,2003,Brevard ,0.663,3,1,3,,2003,12,Brevard ,413576-1,12127,3,1,1,,2003,June,32100,AADT,72 Hour Classification Count,705071,FL,33700,AADT,2006,1,2003,5,5,1,Aveage of BATS and Trend Analysis,12,2006,27000,0.1988
The SR 46 Resurfacing Project from M.P. 4.583 to M.P. 11.200,SR 46 ,2003,Lake ,6.617,3,1,1,,2003,12,Lake ,413575-1,12127,3,1,1,,2003,March,13000,AADT,72 Hour Classification Count,111019,FL,14500,AADT,2006,1,2003,5,5,1,Average of CFRPM II and Trend,12,2006,17200,-0.1862
The SR 19 Resurfacing Project from M.P. 0.000 to M.P. 3.816,SR 19 ,2003,Lake ,3.816,4,1,1,,2003,12,Lake ,413574-1,12127,3,1,1,,2003,March,18500,AADT,72 Hour Classification Count,110008,FL,19500,AADT,2005,1,2003,5,5,1,Average of LCTSm and Trend growth rate,12,2005,27000,-0.3846
"The SR 5 Resurfacing Project from SR 25/500 US 27/301/44End/C&G at Woodland Avenue (M.P. 10.890) to St. John County
Line (M.P. 23.673)",SR 5 R,2003,Flagler,12.783,3,1,1,,2003,12,Flagler,413571-1,12035,3,1,1,,2003,April,13800,AADT,72 Hour Classification Count,730004,FL,15200,AADT,2006,1,2003,5,5,1,Average of CFRPM II and Trend,12,2006,18700,-0.2303
"The SR 5 Resurfacing Project from SR 25/500 US 27/301/44End/C&G at Woodland Avenue (M.P. 10.890) to St. John County
Line (M.P. 23.673)",SR 5 R,2003,Flagler,12.783,3,1,1,,2003,12,Flagler,413571-1,12035,3,1,2,,2003,April,4900,AADT,72 Hour Classification Count,780021,FL,5400,AADT,2006,1,2003,5,5,1,Average of CFRPM II and Trend,12,2006,11000,-1.037
"The SR 40 Resurfacing Existing Lanes Project from SR 25/500 US 27/301/441 M.P. 0.000 to NE 64th Avenue M.P.
6.499",SR 40 ,2003,Marion ,6.499,3,1,3,,2003,12,Marion ,413570-1,12127,3,1,1,,2003,March,27000,AADT,72 Hour Classification Count,365046,FL,27600,AADT,2005,1,2003,5,4,1,CFRPM II,12,2005,31500,-0.1413
The US 301 Safety Project from Seminole Avenue (M.P. 6.278) to (M.P. 6.342).,,2003,Sumter ,0.064,3,12,1,,2003,12,Sumter ,413473-1,12127,3,1,1,,2003,July,5600,AADT,72 Hour Classification Count,180117,FL,6000,AADT,2006,1,2003,5,4,1,CFRPM II,12,2006,10300,-0.7167
"The SR 35/US 301 Resurfacing and Add Left-turn Lane at CR 675, begin south of CR 675 (M.P. 0.888)
and end north of CR 675 (M.P. 1.230).",SR 35/,2003,Sumter ,0.342,3,5,1,,2003,12,Sumter ,412357-1,12127,3,1,1,,2003,July,4500,AADT,72 Hour Classification Count,180122,FL,4700,AADT,2005,1,2003,5,1,1,,12,2005,4900,-0.0426
"The SR 518 – Resurfacing Project rom 0.143 Mile east of Pineapple Avenue (M.P. 5.715) to SR A1A
(M.P. 8.398).",SR 518,2006,Brevard ,2.683,3,1,3,,2006,12,Brevard ,411997-1,12127,3,1,1,,2006,February,38200,AADT,72 Hour Classification Count,701005,FL,39200,AADT,2008,1,2006,5,4,1,CFRPM III,12,2008,38000,0.0306
the resurfacing of S.R. 518 from MP 0.000 to MP 4.452 ,SR 518,2002,Brevard ,4.452,3,1,3,,2002,12,Brevard ,411672-1,12127,3,1,1,MP 0 to MP 0.394,2002,February,25400,AADT,72 Hour Classification Count,700408,FL,26500,AADT,2004,1,2002,5,4,1,BATS FSUTMS,12,2004,24500,0.0755
the resurfacing of S.R. 518 from MP 0.000 to MP 4.454,SR 518,2002,Brevard ,4.452,3,1,3,,2002,12,Brevard ,411672-1,12127,3,1,3,MP 1.925 to MP 4.452,2002,February,23800,AADT,72 Hour Classification Count,700423,FL,24800,AADT,2004,1,2002,5,4,1,,12,2004,18100,0.2702
the resurfacing of S.R. 25 (U.S. 27) from O’Brien Road to Palatlakaha Creek Bridge MP 23.818 and extends north to Milepost 31.825,SR 25 ,2002,Lake ,8.007,3,1,1,,2002,12,Lake ,411993-1,12127,3,1,1,North of O’Brien Rd,2002,September,18900,AADT,72 Hour Classification Count,110363,FL,20200,AADT,2005,1,2002,5,4,1,LCTS FSUTMS,12,2005,23500,-0.1634
the resurfacing of S.R. 25 (U.S. 27) from O’Brien Road to Palatlakaha Creek Bridge MP 23.818 and extends north to Milepost 31.826,SR 25 ,2002,Lake ,8.007,3,1,1,,2002,12,Lake ,411993-1,12127,3,1,2,South of Palatlakaha Creek Bridge,2002,September,21900,AADT,72 Hour Classification Count,110362,FL,23400,AADT,2005,1,2002,,,1,LCTS FSUTMS,12,2005,25000,-0.0684
"The Reconstruction Project for SR 46 begin at the Wildlife Crossing Bridge (M.P. 8.400) and end west of Old McDonald Road (M.P.
8.500).",SR 46 ,2002,Lake ,0.1,3,1,1,,2002,12,Lake ,411116-1,12127,3,1,1,,2002,August,16700,AADT,72 Hour Classification Count,111020,FL,17400,AADT,2003,1,2002,5,1,1,,12,2003,11500,0.3391
"The SR 5 Bridge Replacement Project at the bridge over Black Branch Creek (M.P. 9.091) to (M.P.
9.108)",SR 5 B,2006,Flagler,0.017,3,1,1,,2006,12,Flagler,411092-1,12035,3,1,1,,2006,September,13400,AADT,72 Hour Classification Count,730101,FL,16900,AADT,2011,1,2006,5,1,1,,12,2011,10200,0.3964
"The SR 50 Widening/Resurfacing Existing Lanes Project from Avalon Road M.P. 3.080 to SR 429/Western
Beltway M.P. 6.217.",SR 50 ,2003,Orange ,3.137,3,4,3,,2003,12,Orange ,410983-1,12127,3,1,1,Avalon to Park Ave.,2003,March,31100,AADT,72 Hour Classification Count,750038,FL,36500,AADT,2007,1,2003,5,4,1,CFRPM II,12,2007,35189,0.0359
"The SR 50 Widening/Resurfacing Existing Lanes Project from Avalon Road M.P. 3.080 to SR 429/Western
Beltway M.P. 6.217.",SR 50 ,2003,Orange ,3.137,3,4,3,,2003,12,Orange ,410983-1,12127,3,1,2,Park Ave to Dillard St.,2003,April,43700,AADT,72 Hour Classification Count,750075,FL,51300,AADT,2007,1,2003,5,4,1,,12,2007,45000,0.1228
"The SR 50 Widening/Resurfacing Existing Lanes Project from Avalon Road M.P. 3.080 to SR 429/Western
Beltway M.P. 6.217.",SR 50 ,2003,Orange ,3.137,3,4,3,,2003,12,Orange ,410983-1,12127,3,1,3,Dillard St. to Turnpike Ramp,2003,May,49700,AADT,72 Hour Classification Count,750518,FL,58300,AADT,2007,1,2003,5,4,1,,12,2007,49500,0.1509
The SR 44 Resurfacing Project from Myrtle Ave (M.P. 0.675) to US 1 (M.P. 0.934).,SR 44 ,2006,Volusia ,0.259,4,1,3,,2006,12,Volusia ,410777-1,12127,3,1,1,,2006,March,11100,AADT,72 Hour Classification Count,790516,FL,11600,AADT,2008,1,2006,5,4,1,CFRPM III,12,2008,12500,-0.0776
The SR 35/US 301 Widening & Resurfacing Project The SR 35/US 301 Widening & Resurfacing Project,SR 35/,2004,Sumter ,0.113,4,4,1,,2004,12,Sumter ,410250-1,12127,3,1,1,,2004,March,5700,AADT,72 Hour Classification Count,180041,FL,6500,AADT,2009,1,2004,5,4,1,CFRPM II,12,2009,5500,0.1538
The SR 44B Add Lanes and Reconstruction Project The SR 44B Add Lanes and Reconstruction Project,SR 44B,2006,Lake ,2.11,3,4,3,,2006,12,Lake ,409870-1,12127,3,1,1,,2006,May,14200,AADT,72 Hour Classification Count,110246,FL,16200,AADT,2010,1,2007,5,5,1,Average of Trend and CFRPM IV,12,2010,11282,0.3036
"The Resurfacing Project for SR 400 limits begin
east of SR 44 (M.P. 14.668) and end east of SR 600 (M.P. 25.274).",SR 400,2002,Volusia ,10.606,3,1,1,,2002,12,Volusia ,409847-1,12127,3,1,1,MP 14.6880to MP 25.274,2002,October,42500,AADT,72 Hour Classification Count,790486,FL,45000,AADT,2004,1,2002,5,1,1,,12,2004,47500,-0.0556
The SR 9 Resurfacing Project from M.P. 17.832 to M.P. 22.550,SR 9 R,2003,Brevard ,4.718,3,1,1,,2003,12,Brevard ,409846-1,12127,3,1,1,MP 17.8320to 22.55,2003,April,28900,AADT,72 Hour Classification Count,700363,FL,29800,AADT,2004,1,2003,5,1,1,,12,2004,35000,-0.1745
"The Resurfacing Project for SR 19 begin at
SR 50 (M.P. 0.000) and end at South Dixie Drive (M.P. 11.916).",SR 19 ,2002,Lake ,11.916,4,1,1,,2002,12,Lake ,409180-1,12127,3,1,1,US 27 to MP 11.916,2002,January,8700,AADT,72 Hour Classification Count,110045,FL,8500,AADT,2004,1,2002,5,5,1,Average of LCTM and Trend ,12,2004,7700,0.0941
"The Resurfacing Project for SR 19 begin at
SR 50 (M.P. 0.000) and end at South Dixie Drive (M.P. 11.916).",SR 19 ,2002,Lake ,11.916,4,1,1,,2002,12,Lake ,409180-1,12127,3,1,2,Bridge to US 27,2002,January,5600,AADT,72 Hour Classification Count,110376,FL,5800,AADT,2004,1,2002,5,5,1,,12,2004,6400,-0.1034
the resurfacing of S.R. 15 (U.S. 441) from Post Office Road to S.R. 15/500,SR 15 ,2004,Osceola ,19.165,3,1,1,,2004,12,Osceola ,409173-1,12127,3,1,1,North of SR 60,2002,February,1300,AADT,72 Hour Classification Count,920044,FL,1500,AADT,2004,1,2002,5,4,1,FSUTMS model,12,2004,1500,0
the resurfacing of S.R. 15 (U.S. 441) from Post Office Road to S.R. 15/501,SR 15 ,2004,Osceola ,19.165,3,1,1,,2004,12,Osceola ,409173-1,12127,3,1,2,south of SR 15/500,2002,February,2700,AADT,72 Hour Classification Count,921006,FL,3100,AADT,2004,1,2002,5,4,1,,12,2004,2700,0.129
The Resurfacing Project for SR 519/Fiske Boulevard limits begin 0.20 miles south of I-95 (M.P. 0.000) and end at SR 520 (M.P. 4.604).,SR 519,2002,Brevard ,0.246,4,1,1,,2002,12,Brevard ,409167-1,12127,3,1,1,MP 0.000 to MP 0.246,2002,April,5200,AADT,72 Hour Classification Count,700430,FL,6400,AADT,2005,1,2002,5,5,1,Average of FSUTMS and Trend,12,2005,9800,-0.5313
"The Resurfacing Project for SR 5/US 1 begin at
the Indian River County Line (M.P. 0.000) and end at SR 514/Malabar Road (M.P. 11.390).",SR 5/U,2002,Brevard ,11.39,3,1,3,,2002,12,Brevard ,409166-1,12127,3,1,1,MP 0.000 to MP 11.39,2002,April,12500,AADT,72 Hour Classification Count,700114,FL,13400,AADT,2004,1,2002,5,5,1,Average of BATS and Trend,12,2004,15789,-0.1783
the resurfacing of S.R. 404 from S.R. 5 to S.R. A1A,SR 404,2002,Brevard ,4.139,3,1,3,,2002,12,Brevard ,409165-1,12127,3,1,1,SR 5 to SR 513,2002,February,37900,AADT,72 Hour Classification Count,700391,FL,39700,AADT,2004,1,2002,5,5,1,FSUTMS,12,2004,45000,-0.1335
the resurfacing of S.R. 404 from S.R. 5 to S.R. A1A,SR 404,2002,Brevard ,4.139,3,1,3,,2002,12,Brevard ,409165-1,12127,3,1,2,SR 513 to SR A1A,2002,March,15500,AADT,72 Hour Classification Count,700389,FL,16200,AADT,2004,1,2002,5,5,1,,12,2004,20500,-0.2654
The Resurfacing Project for SR 15/Hoffner Road begin at SR 436/Semoran Boulevard (M.P. 11.578) and end at Mauna Loa Lane (M.P. 12.200),SR 15/,2002,Orange ,0.622,4,1,3,,2002,12,Orange ,409093-1,12127,3,1,1,MP 11.578 to MP 12.2,2002,February,21000,AADT,72 Hour Classification Count,110045,FL,22200,AADT,2005,1,2002,5,5,1,Average of OUATS and Trend,12,2005,7900,0.6441
"The SR 464 – Corridor Improvement Project from SW 7th Avenue (M.P. 0.953) to CR 464A/
Magnolia Avenue/ Lake Weir Road (M.P. 1.937).",SR 464,2006,Marion ,0.984,4,12,3,,2006,12,Marion ,408905-1,12127,3,1,1,MP 0.953 to MP 1.937,2006,April,26900,AADT,72 Hour Classification Count,360463,FL,27200,AADT,2007,1,2006,5,1,1,,12,2007,41500,-0.5257
"The SR 11 Replace Low Level Bridge Project from Little Haw Creek (M.P. 0.400) to Bridge #
730015 (M.P. 0.500)",SR 11 ,2005,Flagler,0.1,3,1,1,,2005,12,Flagler,408639-1,12035,3,1,1,Bridge,2005,February,2600,AADT,72 Hour Classification Count,730009,FL,2800,AADT,2008,1,2005,5,1,1,,12,2008,2600,0.0714
"The SR 25 (US 27) Resurfacing Project limited to SR 25 (US 247), from M.P. 31.846 to M.P. 31.870",SR 25 ,2002,Lake ,0.024,3,1,1,,2002,12,Lake ,408638-1,12127,3,1,1,M.P. 31.846 to M.P. 31.870,2002,October,21100,AADT,72 Hour Classification Count,110362,FL,24500,AADT,2006,1,2002,5,1,1,,12,2006,26000,-0.0612
"The SR 9 – Add Lanes and Rehabilitate Pavement Project from Brevard County Line (M.P.
0.000) to South of I-4 (M.P. 27.400)",SR 9 –,2006,Volusia ,4.114,1,1,3,,2006,12,Volusia ,406869-4,12127,3,1,1,,2006,February,29900,AADT,72 Hour Classification Count,790503,FL,35400,AADT,2012,1,2006,5,1,1,,12,2012,31000,0.1243
"The SR 9 – Add Lanes and Rehabilitate Pavement Project from Brevard County Line (M.P.
0.000) to South of I-4 (M.P. 27.400)",SR 9 –,2006,Volusia ,23.286,1,1,1,,2006,12,Volusia ,406869-6,12127,3,1,1,,2006,February,37100,AADT,72 Hour Classification Count,790503,FL,43900,AADT,2012,1,2006,5,1,1,,12,2012,31000,0.2938
"The SR 9 – Add Lanes and Rehabilitate Pavement Project from Brevard County Line (M.P.
0.000) to South of I-4 (M.P. 27.400)",SR 9 –,2006,Volusia ,23.286,1,1,1,,2006,12,Volusia ,406869-6,12127,3,1,2,,2006,February,45000,AADT,72 Hour Classification Count,790133,FL,53200,AADT,2012,1,2006,5,1,1,,12,2012,36921,0.306
"The SR 9 – Add Lanes and Rehabilitate Pavement Project from Brevard County Line (M.P.
0.000) to South of I-4 (M.P. 27.400)",SR 9 –,2006,Volusia ,23.286,1,1,1,,2006,12,Volusia ,406869-6,12127,3,1,3,,2006,February,52800,AADT,72 Hour Classification Count,790492,FL,62400,AADT,2012,1,2006,5,1,1,,12,2012,42500,0.3189
